,Datetime,Adj_Close,Close,High,Low,Open,Volume
0,2024-09-13 00:00:00+00:00,58032.65234375,58032.65234375,58226.265625,58027.3828125,58129.22265625,0
1,2024-09-13 01:00:00+00:00,58116.55859375,58116.55859375,58183.02734375,57897.50390625,58034.0390625,0
2,2024-09-13 02:00:00+00:00,58054.3203125,58054.3203125,58160.02734375,58016.046875,58122.2421875,0
3,2024-09-13 03:00:00+00:00,57850.9140625,57850.9140625,58069.19921875,57850.9140625,58046.65625,0
4,2024-09-13 04:00:00+00:00,57856.67578125,57856.67578125,57982.59375,57852.4609375,57852.4609375,0
5,2024-09-13 05:00:00+00:00,57948.42578125,57948.42578125,58003.33203125,57851.671875,57866.61328125,0
6,2024-09-13 06:00:00+00:00,57774.34765625,57774.34765625,57946.08203125,57768.4140625,57946.08203125,0
7,2024-09-13 07:00:00+00:00,58140.328125,58140.328125,58140.328125,57772.1328125,57772.1328125,0
8,2024-09-13 08:00:00+00:00,57955.7578125,57955.7578125,58128.80859375,57955.7578125,58123.4609375,0
9,2024-09-13 09:00:00+00:00,58091.70703125,58091.70703125,58142.30078125,57947.7421875,57953.98828125,0
10,2024-09-13 10:00:00+00:00,58320.47265625,58320.47265625,58338.51953125,58043.48046875,58075.6484375,0
11,2024-09-13 11:00:00+00:00,57852.71875,57852.71875,58340.40625,57852.71875,58340.40625,0
12,2024-09-13 12:00:00+00:00,57929.4921875,57929.4921875,57929.4921875,57658.73046875,57869.125,0
13,2024-09-13 13:00:00+00:00,58122.23046875,58122.23046875,58122.23046875,57709.15625,57914.546875,0
14,2024-09-13 14:00:00+00:00,58404.33984375,58404.33984375,58491.9375,57920.3359375,58061.28515625,0
15,2024-09-13 15:00:00+00:00,59621.0390625,59621.0390625,59712.27734375,58404.5078125,58465.4609375,1784721408
16,2024-09-13 16:00:00+00:00,59476.13671875,59476.13671875,59778.17578125,59338.3828125,59674.4453125,1191426048
17,2024-09-13 17:00:00+00:00,59604.53125,59604.53125,59927.23828125,59459.26171875,59459.26171875,246429696
18,2024-09-13 18:00:00+00:00,59752.8203125,59752.8203125,59859.92578125,59527.72265625,59605.6171875,19116032
19,2024-09-13 19:00:00+00:00,59700.98046875,59700.98046875,60012.1875,59700.98046875,59780.4375,0
20,2024-09-13 20:00:00+00:00,59947.96484375,59947.96484375,59977.1640625,59673.390625,59761.87109375,0
21,2024-09-13 21:00:00+00:00,60305.37890625,60305.37890625,60336.2890625,59897.2265625,59897.2265625,912025600
22,2024-09-13 22:00:00+00:00,60638.91015625,60638.91015625,60640.19140625,60309.00390625,60316.25390625,1432641536
23,2024-09-13 23:00:00+00:00,60593.8359375,60593.8359375,60637.890625,60391.91015625,60636.17578125,530675712
24,2024-09-14 00:00:00+00:00,60457.49609375,60457.49609375,60645.54296875,60430.1171875,60544.2265625,235257856
25,2024-09-14 01:00:00+00:00,60453.63671875,60453.63671875,60625.2578125,60453.63671875,60453.7265625,0
26,2024-09-14 02:00:00+00:00,60328.1796875,60328.1796875,60530.56640625,60327.08984375,60448.12109375,0
27,2024-09-14 03:00:00+00:00,60379.34375,60379.34375,60454.71875,60329.921875,60329.921875,0
28,2024-09-14 04:00:00+00:00,60217.5390625,60217.5390625,60365.07421875,60217.5390625,60359.734375,28311552
29,2024-09-14 05:00:00+00:00,59986.16796875,59986.16796875,60255.0546875,59986.16796875,60227.4140625,175208448
30,2024-09-14 06:00:00+00:00,60065.46875,60065.46875,60103.71484375,59930.02734375,59954.7265625,124022784
31,2024-09-14 07:00:00+00:00,60168.54296875,60168.54296875,60193.8125,60015.58203125,60068.87890625,0
32,2024-09-14 08:00:00+00:00,59988.1015625,59988.1015625,60178.71875,59984.23046875,60165.48046875,0
33,2024-09-14 09:00:00+00:00,60073.8125,60073.8125,60073.8125,59921.77734375,59993.1484375,0
34,2024-09-14 10:00:00+00:00,59854.38671875,59854.38671875,60072.0546875,59841.1875,60072.0546875,0
35,2024-09-14 11:00:00+00:00,59736.859375,59736.859375,59867.2890625,59637.1484375,59867.2890625,0
36,2024-09-14 12:00:00+00:00,59820.88671875,59820.88671875,59859.54296875,59672.5859375,59734.7109375,0
37,2024-09-14 13:00:00+00:00,59789.86328125,59789.86328125,59816.296875,59688.328125,59816.296875,0
38,2024-09-14 14:00:00+00:00,59943.95703125,59943.95703125,60016.9296875,59729.68359375,59789.24609375,0
39,2024-09-14 15:00:00+00:00,59895.89453125,59895.89453125,59961.62109375,59844.1796875,59938.3125,0
40,2024-09-14 16:00:00+00:00,59987.828125,59987.828125,59988.7421875,59870.16015625,59893.10546875,0
41,2024-09-14 17:00:00+00:00,59894.55078125,59894.55078125,59996.75390625,59870.5078125,59996.75390625,0
42,2024-09-14 18:00:00+00:00,59820.06640625,59820.06640625,59899.44921875,59541.2890625,59899.44921875,0
43,2024-09-14 19:00:00+00:00,59820.45703125,59820.45703125,59889.43359375,59757.81640625,59810.28125,0
44,2024-09-14 20:00:00+00:00,60022.640625,60022.640625,60061.046875,59810.58984375,59822.86328125,0
45,2024-09-14 21:00:00+00:00,60051.078125,60051.078125,60061.60546875,59984.12109375,60024.2734375,0
46,2024-09-14 22:00:00+00:00,60025.2734375,60025.2734375,60118.37890625,59964.26953125,60053.3046875,0
47,2024-09-14 23:00:00+00:00,60004.453125,60004.453125,60062.921875,59975.03125,60026.3671875,0
48,2024-09-15 00:00:00+00:00,60045.8125,60045.8125,60125.0703125,60007.734375,60007.734375,0
49,2024-09-15 01:00:00+00:00,60252.66796875,60252.66796875,60272.4140625,60043.59765625,60043.59765625,0
50,2024-09-15 02:00:00+00:00,60250.36328125,60250.36328125,60270.078125,60136.765625,60251.88671875,0
51,2024-09-15 03:00:00+00:00,60165.60546875,60165.60546875,60252.70703125,60151.38671875,60249.2265625,0
52,2024-09-15 04:00:00+00:00,60157.203125,60157.203125,60236.33203125,60121.703125,60174.77734375,0
53,2024-09-15 05:00:00+00:00,60181.171875,60181.171875,60252.39453125,60139.4375,60140.17578125,0
54,2024-09-15 06:00:00+00:00,60161.56640625,60161.56640625,60195.79296875,60148.15625,60171.3359375,0
55,2024-09-15 07:00:00+00:00,60202.33984375,60202.33984375,60218.0390625,60149.046875,60171.328125,0
56,2024-09-15 08:00:00+00:00,60085.45703125,60085.45703125,60212.94140625,60070.79296875,60204.19921875,0
57,2024-09-15 09:00:00+00:00,60030.4609375,60030.4609375,60117.8828125,60030.4609375,60085.25390625,0
58,2024-09-15 10:00:00+00:00,60005.265625,60005.265625,60042.99609375,59942.203125,60023.58203125,0
59,2024-09-15 11:00:00+00:00,60013.19921875,60013.19921875,60043.52734375,59927.71484375,60003.1171875,0
60,2024-09-15 12:00:00+00:00,60071.3125,60071.3125,60071.3125,59966.98828125,60014.4453125,0
